machine_id,day,vibration,temperature,pressure,load,failure
0,0,2.078,62.12,4.92,0.928,0
0,1,1.937,59.11,4.78,0.802,0
0,2,2.029,60.0,4.658,0.664,0
0,3,1.934,60.34,4.828,0.852,0
0,4,1.918,60.59,4.92,0.748,0
0,5,1.774,62.71,4.92,0.939,0
0,6,2.018,61.26,4.889,0.745,0
0,7,1.906,60.94,4.861,0.752,0
0,8,2.142,62.03,4.775,0.776,0
0,9,1.993,61.81,4.976,0.72,0
0,10,1.943,60.9,4.942,0.828,0
0,11,1.941,62.54,4.972,0.857,0
0,12,2.007,61.54,4.777,0.787,0
0,13,1.873,60.3,5.131,0.649,0
0,14,1.982,61.06,4.976,0.836,0
0,15,1.851,62.35,4.82,0.973,0
0,16,1.991,57.89,4.792,0.606,0
0,17,2.123,59.88,4.983,0.745,0
0,18,2.001,61.88,4.888,0.981,0
0,19,1.892,60.64,4.776,0.832,0
0,20,1.907,60.8,4.847,0.808,0
0,21,1.805,61.41,5.068,0.989,0
0,22,1.795,61.7,4.839,0.936,0
0,23,1.9,61.47,4.848,0.786,0
0,24,1.937,62.15,4.898,0.926,0
0,25,1.992,62.13,5.019,0.966,0
0,26,2.157,62.24,4.887,0.827,0
0,27,1.947,63.69,4.775,0.975,0
0,28,2.239,58.88,4.73,0.616,0
0,29,1.77,58.09,4.925,0.645,0
0,30,1.79,61.61,4.801,0.907,0
0,31,1.87,60.87,4.798,0.864,0
0,32,2.069,64.12,4.758,0.957,0
0,33,1.95,61.61,4.889,0.752,0
0,34,1.69,60.86,4.7,0.865,0
0,35,2.028,59.59,4.802,0.732,0
0,36,2.027,62.61,4.951,0.905,0
0,37,2.186,59.44,4.881,0.723,0
0,38,1.954,62.47,4.932,0.884,0
0,39,1.863,59.88,4.876,0.626,0
0,40,1.942,61.77,4.711,0.959,0
0,41,2.043,62.49,4.867,0.976,0
0,42,2.02,61.27,4.827,0.903,0
0,43,1.863,61.27,4.978,0.817,0
0,44,1.791,60.74,4.804,0.755,0
